sum,abbreviation,date,setname,releasedate
1937.2,GFTP,2021-07-21,Ghosts From the Past,2021-04-16 00:00:00+00:00
114.57,KICO,2021-07-21,Kings Court,2021-07-08 00:00:00+00:00
1614.05,LIOV,2021-07-21,Lightning Overdrive,2021-06-03 00:00:00+00:00
544.91,OP16,2021-07-21,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.28,SDFC,2021-07-21,Freezing Chains,2021-02-18 00:00:00+00:00
827.87,ANGU,2021-07-22,Ancient Guardians,2021-05-07 00:00:00+00:00
1483.26,BLVO,2021-07-22,Blazing Vortex,2021-02-04 00:00:00+00:00
19.68,EGS1,2021-07-22,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
935.19,GEIM,2021-07-22,Genesis Impact,2020-12-18 00:00:00+00:00
1935.33,GFTP,2021-07-22,Ghosts From the Past,2021-04-16 00:00:00+00:00
112.52,KICO,2021-07-22,Kings Court,2021-07-08 00:00:00+00:00
1611.7,LIOV,2021-07-22,Lightning Overdrive,2021-06-03 00:00:00+00:00
530.79,OP16,2021-07-22,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.33,SDFC,2021-07-22,Freezing Chains,2021-02-18 00:00:00+00:00
827.37,ANGU,2021-07-23,Ancient Guardians,2021-05-07 00:00:00+00:00
1474.32,BLVO,2021-07-23,Blazing Vortex,2021-02-04 00:00:00+00:00
19.53,EGS1,2021-07-23,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
934.94,GEIM,2021-07-23,Genesis Impact,2020-12-18 00:00:00+00:00
1922.97,GFTP,2021-07-23,Ghosts From the Past,2021-04-16 00:00:00+00:00
114.64,KICO,2021-07-23,Kings Court,2021-07-08 00:00:00+00:00
1610.72,LIOV,2021-07-23,Lightning Overdrive,2021-06-03 00:00:00+00:00
514.26,OP16,2021-07-23,OTS Tournament Pack 16,2021-06-09 00:00:00+00:00
15.22,SDFC,2021-07-23,Freezing Chains,2021-02-18 00:00:00+00:00
825.61,ANGU,2021-07-24,Ancient Guardians,2021-05-07 00:00:00+00:00
1475.03,BLVO,2021-07-24,Blazing Vortex,2021-02-04 00:00:00+00:00
19.61,EGS1,2021-07-24,Egyptian God Deck: Slifer the Sky Dragon,2021-06-17 00:00:00+00:00
935.52,GEIM,2021-07-24,Genesis Impact,2020-12-18 00:00:00+00:00
