rarity,imageUrl,tcgplayerUrl,tcg_product_id
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/196857_200w.jpg,https://www.tcgplayer.com/product/196857/yugioh-structure-deck-rokket-revolt-borreload-furious-dragon,196857
Common,https://tcgplayer-cdn.tcgplayer.com/product/188938_200w.jpg,https://www.tcgplayer.com/product/188938/yugioh-ots-tournament-pack-10-super-quantum-red-layer,188938
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/186925_200w.jpg,https://www.tcgplayer.com/product/186925/yugioh-duel-power-predaplant-spider-orchid,186925
Common,https://tcgplayer-cdn.tcgplayer.com/product/179263_200w.jpg,https://www.tcgplayer.com/product/179263/yugioh-structure-deck-zombie-horde-zombie-master,179263
Common,https://tcgplayer-cdn.tcgplayer.com/product/177293_200w.jpg,https://www.tcgplayer.com/product/177293/yugioh-legendary-duelists-white-dragon-abyss-the-melody-of-awakening-dragon,177293
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/174845_200w.jpg,https://www.tcgplayer.com/product/174845/yugioh-2018-mega-tins-mega-pack-altergeist-meluseek,174845
Common,https://tcgplayer-cdn.tcgplayer.com/product/174423_200w.jpg,https://www.tcgplayer.com/product/174423/yugioh-ots-tournament-pack-8-divine-sword-phoenix-blade,174423
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/148295_200w.jpg,https://www.tcgplayer.com/product/148295/yugioh-circuit-break-altergeist-meluseek,148295
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/148293_200w.jpg,https://www.tcgplayer.com/product/148293/yugioh-circuit-break-altergeist-marionetter,148293
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/136852_200w.jpg,https://www.tcgplayer.com/product/136852/yugioh-battles-of-legend-lights-revenge-m-x-saber-invoker,136852
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/129991_200w.jpg,https://www.tcgplayer.com/product/129991/yugioh-ots-tournament-pack-4-retaliating-c,129991
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/129307_200w.jpg,https://www.tcgplayer.com/product/129307/yugioh-raging-tempest-baobaboon,129307
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/122945_200w.jpg,https://www.tcgplayer.com/product/122945/yugioh-duelist-pack-rivals-of-the-pharaoh-magnet-reverse,122945
Rare,https://tcgplayer-cdn.tcgplayer.com/product/122426_200w.jpg,https://www.tcgplayer.com/product/122426/yugioh-2016-mega-tins-mega-pack-majespecter-unicorn-kirin,122426
Common,https://tcgplayer-cdn.tcgplayer.com/product/122409_200w.jpg,https://www.tcgplayer.com/product/122409/yugioh-2016-mega-tins-mega-pack-superheavy-samurai-soulclaw,122409
Rare,https://tcgplayer-cdn.tcgplayer.com/product/105240_200w.jpg,https://www.tcgplayer.com/product/105240/yugioh-2015-mega-tins-mega-pack-satellarknight-skybridge,105240
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/105222_200w.jpg,https://www.tcgplayer.com/product/105222/yugioh-2015-mega-tins-mega-pack-bian-earth-of-the-yang-zing,105222
Common,https://tcgplayer-cdn.tcgplayer.com/product/99836_200w.jpg,https://www.tcgplayer.com/product/99836/yugioh-star-pack-arc-v-raidraptor-rise-falcon-common,99836
Rare,https://tcgplayer-cdn.tcgplayer.com/product/94059_200w.jpg,https://www.tcgplayer.com/product/94059/yugioh-legendary-collection-5ds-fire-ant-ascator,94059
Rare,https://tcgplayer-cdn.tcgplayer.com/product/94060_200w.jpg,https://www.tcgplayer.com/product/94060/yugioh-legendary-collection-5ds-supay,94060
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/92352_200w.jpg,https://www.tcgplayer.com/product/92352/yugioh-duelist-alliance-bian-earth-of-the-yang-zing,92352
Rare,https://tcgplayer-cdn.tcgplayer.com/product/92399_200w.jpg,https://www.tcgplayer.com/product/92399/yugioh-duelist-alliance-satellarknight-skybridge,92399
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/92351_200w.jpg,https://www.tcgplayer.com/product/92351/yugioh-duelist-alliance-suanni-fire-of-the-yang-zing,92351
Shatterfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/92086_200w.jpg,https://www.tcgplayer.com/product/92086/yugioh-battle-pack-3-monster-league-valhalla-hall-of-the-fallen-shatterfoil,92086
Common,https://tcgplayer-cdn.tcgplayer.com/product/79888_200w.jpg,https://www.tcgplayer.com/product/79888/yugioh-star-pack-2014-photon-papilloperative,79888
