date,difference,first_date,first_price,high,last_date,last_price,low,market,mid,name,number,p_change,period,product_id,set_name,sub_type,tcg_product_id,updated_at
2023-05-14 11:13:14.354038,1.23,2023-04-03 00:00:00.000000,0.695,39.95,2023-10-01 00:00:00.000000,1.925,5.25,5.79,6.89,Predaplant Spider Orchid,DUPO-EN035,0.638961038961039,180,9494,Duel Power,1st Edition,186925,2019-04-04 00:00:00+00:00
2023-07-18 11:02:36.524930,1.44,2023-04-03 00:00:00.000000,0.76,6.98,2023-10-01 00:00:00.000000,2.2,0.25,1.37,0.79,Zombie Master,SR07-EN010,0.6545454545454545,180,384,Zombie Horde,1st Edition,179263,2018-11-01 00:00:00+00:00
2023-05-21 11:16:58.728291,0.93,2023-04-03 00:00:00.000000,0.58,4.95,2023-10-01 00:00:00.000000,1.51,0.22,1.03,0.99,The Melody of Awakening Dragon,LED3-EN009,0.6158940397350994,180,14296,Legendary Duelists: White Dragon Abyss,1st Edition,177293,2018-09-28 00:00:00+00:00
2023-07-04 11:12:27.162351,1.13,2023-04-03 00:00:00.000000,0.9,4.5,2023-10-01 00:00:00.000000,2.03,0.16,1.75,1.73,Altergeist Meluseek,MP18-EN115,0.5566502463054187,180,9193,2018 Mega-Tins Mega Pack,1st Edition,174845,2018-08-31 00:00:00+00:00
2023-08-17 11:14:15.222773,2.53,2023-04-03 00:00:00.000000,0.87,6.92,2023-10-01 00:00:00.000000,3.4,1.98,3.49,2.95,Divine Sword - Phoenix Blade,OP08-EN020,0.7441176470588236,180,14546,OTS Tournament Pack 8,Unlimited,174423,2018-08-17 00:00:00+00:00
2023-05-04 11:13:15.665430,1.62,2023-04-03 00:00:00.000000,0.825,5.0,2023-10-01 00:00:00.000000,2.445,0.73,1.16,3.04,Altergeist Meluseek,CIBR-EN014,0.6625766871165644,180,10104,Circuit Break,Unlimited,148295,2017-10-19 00:00:00+00:00
2023-05-04 11:13:15.494618,0.87,2023-04-03 00:00:00.000000,0.875,5.99,2023-10-01 00:00:00.000000,1.745,1.4,1.86,2.49,Altergeist Marionetter,CIBR-EN012,0.498567335243553,180,10101,Circuit Break,1st Edition,148293,2017-10-19 00:00:00+00:00
2023-09-26 10:13:18.385542,2.21,2023-04-03 00:00:00.000000,0.62,22.79,2023-10-01 00:00:00.000000,2.83,0.53,2.86,3.0,M-X-Saber Invoker,BLLR-EN063,0.7809187279151943,180,13759,Battles of Legend: Light's Revenge,1st Edition,136852,2017-07-06 00:00:00+00:00
2023-05-22 11:11:13.994964,2.98,2023-04-03 00:00:00.000000,0.99,20.0,2023-10-01 00:00:00.000000,3.97,2.03,2.8,3.75,"Retaliating ""C""",OP04-EN007,0.7506297229219143,180,7433,OTS Tournament Pack 4,Unlimited,129991,2017-04-07 00:00:00+00:00
2023-05-09 11:11:37.986618,0.82,2023-04-03 00:00:00.000000,0.28,5.0,2023-10-01 00:00:00.000000,1.1,0.15,0.93,0.99,Baobaboon,RATE-ENSE4,0.7454545454545455,180,7024,Raging Tempest,Limited,129307,2017-02-09 00:00:00+00:00
2023-08-06 11:15:27.444846,0.96,2023-04-03 00:00:00.000000,0.76,1001.0,2023-10-01 00:00:00.000000,1.72,0.5,2.42,2.27,Magnet Reverse,DPRP-EN006,0.5581395348837209,180,17480,Duelist Pack: Rivals of the Pharaoh,1st Edition,122945,2016-09-16 00:00:00+00:00
2023-10-01 11:29:48.335111,2.235,2023-04-03 00:00:00.000000,0.975,5.69,2023-10-01 00:00:00.000000,3.21,1.89,2.48,4.0,Majespecter Unicorn - Kirin,MP16-EN129,0.6962616822429907,180,25487,2016 Mega-Tins Mega Pack,Unlimited,122426,2016-09-02 00:00:00+00:00
2023-09-29 11:13:53.445691,0.84,2023-04-03 00:00:00.000000,0.27,5.0,2023-10-01 00:00:00.000000,1.11,0.36,1.62,0.74,Superheavy Samurai Soulclaw,MP16-EN112,0.7567567567567568,180,2002,2016 Mega-Tins Mega Pack,1st Edition,122409,2016-09-02 00:00:00+00:00
2023-05-14 11:21:09.320958,1.16,2023-04-03 00:00:00.000000,0.56,4.17,2023-10-01 00:00:00.000000,1.72,0.71,0.84,3.66,Satellarknight Skybridge,MP15-EN102,0.6744186046511628,180,18010,2015 Mega-Tins Mega Pack,1st Edition,105240,2015-09-18 00:00:00+00:00
2023-06-04 11:11:11.280962,1.26,2023-04-03 00:00:00.000000,0.91,6.9,2023-10-01 00:00:00.000000,2.17,4.82,5.23,5.0,"Bi'an, Earth of the Yang Zing",MP15-EN084,0.5806451612903226,180,7726,2015 Mega-Tins Mega Pack,1st Edition,105222,2015-09-18 00:00:00+00:00
2023-07-17 11:07:07.194810,0.99,2023-04-03 00:00:00.000000,0.97,2.06,2023-10-01 00:00:00.000000,1.96,0.17,1.96,0.5,Raidraptor - Rise Falcon,SP15-EN037,0.5051020408163265,180,4363,Star Pack ARC-V,1st Edition,99836,2015-06-12 00:00:00+00:00
2023-06-04 11:27:37.791038,0.79,2023-04-03 00:00:00.000000,0.76,6.98,2023-10-01 00:00:00.000000,1.55,0.97,1.5,2.75,Fire Ant Ascator,LC5D-EN224,0.5096774193548387,180,28282,Legendary Collection 5D's Mega Pack,1st Edition,94059,2014-10-23 00:00:00+00:00
2023-06-04 11:27:37.838292,1.77,2023-04-03 00:00:00.000000,0.59,5.92,2023-10-01 00:00:00.000000,2.36,0.5,0.8,1.57,Supay,LC5D-EN225,0.75,180,28283,Legendary Collection 5D's Mega Pack,1st Edition,94060,2014-10-23 00:00:00+00:00
2023-04-29 11:11:28.881053,1.45,2023-04-03 00:00:00.000000,0.995,3.65,2023-10-01 00:00:00.000000,2.445,0.58,0.96,1.0,"Bi'an, Earth of the Yang Zing",DUEA-EN029,0.5930470347648262,180,7437,Duelist Alliance,Unlimited,92352,2014-08-15 00:00:00+00:00
2023-04-16 11:20:47.899569,1.215,2023-04-03 00:00:00.000000,0.485,4.99,2023-10-01 00:00:00.000000,1.7,0.15,0.43,0.43,Satellarknight Skybridge,DUEA-EN058,0.7147058823529412,180,17828,Duelist Alliance,Unlimited,92399,2014-08-15 00:00:00+00:00
2023-04-21 11:12:37.182373,2.62,2023-04-03 00:00:00.000000,0.875,3.36,2023-10-01 00:00:00.000000,3.495,0.38,0.86,0.98,"Suanni, Fire of the Yang Zing",DUEA-EN028,0.7496423462088698,180,7571,Duelist Alliance,Unlimited,92351,2014-08-15 00:00:00+00:00
2023-08-01 11:17:00.737872,1.02,2023-04-03 00:00:00.000000,0.47,4.99,2023-10-01 00:00:00.000000,1.49,0.29,1.49,0.87,"Valhalla, Hall of the Fallen (Shatterfoil)",BP03-EN154,0.6845637583892618,180,17097,Battle Pack 3: Monster League,1st Edition,92086,2014-07-25 00:00:00+00:00
2023-09-29 11:15:34.224329,1.65,2023-04-03 00:00:00.000000,0.71,3.12,2023-10-01 00:00:00.000000,2.36,0.7,2.84,1.11,Photon Papilloperative,SP14-EN025,0.6991525423728814,180,3844,Star Pack 2014,1st Edition,79888,2014-02-21 00:00:00+00:00
2023-09-27 10:08:39.777337,0.78,2023-04-03 00:00:00.000000,0.6,9.99,2023-10-01 00:00:00.000000,1.38,0.53,1.38,0.93,Number C39: Utopia Ray,SP14-EN022,0.5652173913043478,180,6176,Star Pack 2014,1st Edition,79878,2014-02-21 00:00:00+00:00
2023-04-03 11:19:35.707405,1.41,2023-04-03 00:00:00.000000,0.905,2.77,2023-10-01 00:00:00.000000,2.315,0.75,0.97,1.0,Battlin' Boxing Spirits,SHSP-EN060,0.6090712742980562,180,17434,Shadow Specters,Unlimited,72455,2013-11-08 00:00:00+00:00
2023-10-01 11:24:59.976320,3.425,2023-04-03 00:00:00.000000,0.805,14.99,2023-10-01 00:00:00.000000,4.23,13.0,4.23,14.98,Axe of Fools,BP02-EN161,0.8096926713947991,180,19249,Battle Pack 2: War of the Giants,1st Edition,69604,2013-06-27 00:00:00+00:00
2023-04-23 11:07:12.381343,0.82,2023-04-03 00:00:00.000000,0.505,2.0,2023-10-01 00:00:00.000000,1.325,0.2,0.53,0.56,Dandylion,BP02-EN077,0.6188679245283019,180,3950,Battle Pack 2: War of the Giants,1st Edition,69219,2013-06-27 00:00:00+00:00
2023-05-27 11:10:37.239570,1.03,2023-04-03 00:00:00.000000,0.8,5.0,2023-10-01 00:00:00.000000,1.83,0.74,1.12,1.58,Geargiaccelerator,AP02-EN005,0.5628415300546448,180,7875,Astral Pack Two,Unlimited,78016,2013-04-19 00:00:00+00:00
2023-06-04 11:04:18.622291,0.86,2023-04-03 00:00:00.000000,0.83,2.5,2023-10-01 00:00:00.000000,1.69,0.75,1.26,1.37,Light and Darkness Dragon,AP02-EN016,0.5088757396449705,180,1490,Astral Pack Two,Unlimited,78028,2013-04-19 00:00:00+00:00
2023-07-22 11:08:58.344351,2.19,2023-04-03 00:00:00.000000,0.68,4.98,2023-10-01 00:00:00.000000,2.87,0.5,1.08,1.58,Snowman Eater,SDRE-EN016,0.7630662020905923,180,6405,Realm of the Sea Emperor Structure Deck,1st Edition,67134,2012-10-16 00:00:00+00:00
